"","BATTER_UID","AVG","OBP","SLG","VENUE_KEY","OUTS","BALLS","STRIKES","BATS_LEFT","THROWS_LEFT","PITCH_NUMBER","RELEASE_SPEED","PLATE_X","PLATE_Z","INDUCED_VERTICAL_BREAK","HORIZONTAL_BREAK","VERTICAL_APPROACH_ANGLE","HORIZONTAL_APPROACH_ANGLE","OPS","Handedness","exitVelo_GAM","angle_GAM","direction_GAM","exitVelo_GLM","angle_GLM","direction_GLM","exitVelo_KNN","angle_KNN","direction_KNN"
"1",81,0.261,0.3285,0.3655,2528,2,1,2,1,0,6,89.3358001708984,-0.384399980306625,2.53049993515015,16.4084987640381,-4.47750997543335,-4.95774984359741,2.42158985137939,0.694,1,89.129,21.616,1.513,89.043,21.616,1.494,92.04,17.602,16.051
"2",125,0.2295,0.3255,0.4005,2683,1,1,1,1,0,3,87.974235534668,0.595641016960144,2.48566102981567,0.62193363904953,-1.30332434177399,-7.05557203292847,2.36758899688721,0.726,1,88.768,8.38,9.906,88.813,8.38,9.921,85.722,10.084,-2.762
"3",21,0.2745,0.3365,0.4425,2724,2,2,0,0,0,3,90.3796997070312,-0.0741844028234482,2.73273992538452,15.175799369812,-1.61159002780914,-5.58009004592896,2.5713300704956,0.779,0,89.578,20.276,-5.041,89.568,20.276,-5.028,102.093,8.851,3.839
"4",73,0.289,0.381,0.374,2772,1,0,1,1,1,2,80.5156021118164,0.350665003061295,1.27243995666504,11.2826995849609,13.4523000717163,-7.8131799697876,-0.765851020812988,0.755,0,87.357,12.597,-8.883,87.359,12.597,-8.934,88.236,17.053,-5.117
"5",142,0.3195,0.3605,0.4435,5472,0,0,1,1,0,2,84.0691680908203,1.08044898509979,1.93401801586151,-3.22855377197266,11.446439743042,-8.63542175292969,3.91845107078552,0.804,1,88.532,6.244,10.737,88.617,6.244,10.75,89.092,16.577,-0.403
"6",81,0.261,0.3285,0.3655,2843,1,0,2,0,1,3,90.8547592163086,0.705589950084686,3.35411214828491,17.5839862823486,8.33573818206787,-4.3280520439148,-1.83880996704102,0.694,1,89.488,24.187,6.594,89.52,24.187,6.612,95.074,26.324,-0.504
"7",117,0.2845,0.344,0.4435,2683,0,2,2,0,1,5,82.5804977416992,0.233624011278152,3.08311986923218,5.28302001953125,-1.29749000072479,-6.07106971740723,-1.73917996883392,0.7875,1,89.007,21.175,2.36,89.009,21.175,2.372,98.341,20.826,4.111
"8",70,0.238666,0.293666,0.389333,5472,2,3,2,0,0,7,94.7287368774414,0.638729989528656,2.39530801773071,-13.9081792831421,9.57578086853027,-8.91053199768066,3.11738872528076,0.682999,0,88.075,-12.447,1.579,88.205,-12.447,1.638,81.683,12.651,19.121
"9",98,0.2965,0.384,0.527,4271,1,0,0,1,0,1,94.9535980224609,-0.0346716977655888,2.77921009063721,16.9820995330811,3.19898986816406,-5.30443000793457,1.41445004940033,0.911,1,92.715,18.716,0.845,92.73,18.716,0.87,95.131,10.74,2.964
"10",16,0.28,0.353,0.361,2852,1,1,1,0,0,3,82.409797668457,-0.24193899333477,3.61843013763428,-2.90073990821838,12.4772996902466,-5.93848991394043,2.90461993217468,0.714,0,86.531,22.65,-9.263,86.436,22.65,-9.239,95.04,18.996,-18.537
